Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples,Casename
Opening,5,,2,2,2,2,Dental3
Elicits Spectrum of Concerns,5,,3,5,4,4,Dental3
Negotiates Priorities and Sets Agenda,4,,3,5,4,5,Dental3
Eliciting the Narrative Thread or the 'Patient's Story',4,,5,4,5,5,Dental3
Timeline,3,,3,3,3,3,Dental3
Organization,5,,5,5,5,5,Dental3
Pacing of Interview,5,,5,5,5,5,Dental3
Types of Questions,4,,5,5,5,5,Dental3
Summarizing,2,,1,1,5,1,Dental3
Duplication,5,,5,5,5,5,Dental3
Lack of Jargon,5,,5,5,5,5,Dental3
Verification of Patient Information,,,5,4,5,3,Dental3
Verbal Facilitation Skills,5,,5,5,5,5,Dental3
Non-Verbal Facilitation Skills,5,,4,5,This conversation cannot be accurately scored for non-verbal communication without descriptive non-verbal cues or behaviors.,5,Dental3
Empathy and Acknowledging Patient Cues,4,,5,5,5,5,Dental3
Impact of Illness on Patient and Patients Self-Image,,,5,3,5,3,Dental3
Support Systems,5,,3,3,3,3,Dental3
Encouragement of Questions,5,,4,3,4,4,Dental3
Closure,1,,5,5,4,5,Dental3
ÊPatient's Perspective (Beliefs)Ê,2,,5,5,5,5,Dental3
" Patient's Education and Understanding 	",3,,5,5,5,3,Dental3
" Assess Motivation for Changes 	",4,,5,5,5,5,Dental3
Opening,3,3,3,4,4,4,Case1
Elicits Spectrum of Concerns,2,3,4,3,3,4,Case1
Negotiates Priorities and Sets Agenda,1,1,2,2,1,2,Case1
Eliciting the Narrative Thread or the 'Patient's Story',5,5,5,5,5,5,Case1
Timeline,4,5,5,5,5,5,Case1
Organization,5,5,5,5,5,5,Case1
Pacing of Interview,4,5,5,5,5,5,Case1
Types of Questions,3,5,5,5,5,5,Case1
Summarizing,2,1,1,1,1,1,Case1
Duplication,4,5,5,5,5,5,Case1
Lack of Jargon,5,5,5,5,5,5,Case1
Verification of Patient Information,3,5,5,5,5,5,Case1
Verbal Facilitation Skills,4,4,5,5,5,5,Case1
Non-Verbal Facilitation Skills,3,,3,5,,5,Case1
Empathy and Acknowledging Patient Cues,4,3,3,5,3,5,Case1
Impact of Illness on Patient and Patients Self-Image,4,3,3,1,3,3,Case1
Support Systems,5,3,3,3,3,3,Case1
Encouragement of Questions,2,1,2,2,2,2,Case1
Closure,3,1,1,1,1,3,Case1
Opening,4,,4,5,4,5,Dental1
Elicits Spectrum of Concerns,2,,4,3,5,4,Dental1
Negotiates Priorities and Sets Agenda,2,,2,2,3,3,Dental1
Eliciting the Narrative Thread or the 'Patient's Story',3,,4,3,4,4,Dental1
Timeline,4,,3,5,5,5,Dental1
Organization,4,,5,5,5,5,Dental1
Pacing of Interview,4,,5,5,5,5,Dental1
Types of Questions,3,,5,4,5,5,Dental1
Summarizing,4,,3,3,4,5,Dental1
Duplication,3,,5,5,5,5,Dental1
Lack of Jargon,3,,5,5,5,5,Dental1
Verification of Patient Information,,,5,4,5,5,Dental1
Verbal Facilitation Skills,4,,5,3,5,5,Dental1
Non-Verbal Facilitation Skills,4,,,5,,5,Dental1
Empathy and Acknowledging Patient Cues,4,,3,3,5,5,Dental1
Impact of Illness on Patient and Patients Self-Image,,,3,3,3,3,Dental1
Support Systems,4,,1,3,1,3,Dental1
Encouragement of Questions,2,,2,3,2,2,Dental1
Closure,4,,1,3,1,3,Dental1
ÊPatient's Perspective (Beliefs)Ê,5,,5,4,5,4,Dental1
" Patient's Education and Understanding 	",,,2,3,2,2,Dental1
" Assess Motivation for Changes 	",,,1,3,1,1,Dental1
Opening,4,,5,5,4,5,Behavioral1
Elicits Spectrum of Concerns,5,,5,4,4,2,Behavioral1
Negotiates Priorities and Sets Agenda,5,,3,5,5,5,Behavioral1
Eliciting the Narrative Thread or the 'Patient's Story',3,,3,3,5,3,Behavioral1
Timeline,,,3,3,5,5,Behavioral1
Organization,4,,5,5,5,5,Behavioral1
Pacing of Interview,5,,5,5,5,5,Behavioral1
Types of Questions,4,,3,5,3,5,Behavioral1
Summarizing,4,,5,5,5,5,Behavioral1
Duplication,,,5,5,5,5,Behavioral1
Lack of Jargon,4,,5,5,5,5,Behavioral1
Verification of Patient Information,,,5,4,5,5,Behavioral1
Verbal Facilitation Skills,4,,5,5,5,5,Behavioral1
Non-Verbal Facilitation Skills,4,,3,5,Not Applicable,5,Behavioral1
Empathy and Acknowledging Patient Cues,4,,5,5,5,5,Behavioral1
Impact of Illness on Patient and Patients Self-Image,,,3,3,4,3,Behavioral1
Support Systems,5,,3,3,3,5,Behavioral1
Encouragement of Questions,5,,5,5,5,5,Behavioral1
Closure,5,,5,5,5,5,Behavioral1
ÃPatient's Perspective (Beliefs)Ã,4,,5,3,4,4,Behavioral1
" Patient's Education and Understanding 	",5,,5,4,5,3,Behavioral1
" Assess Motivation for Changes 	",5,,5,5,5,5,Behavioral1
Achieve a Shared Plan,5,,5,5,5,5,Behavioral1
Opening,5,5,4,5,5,5,Case2
Elicits Spectrum of Concerns,5,5,5,5,5,4,Case2
Negotiates Priorities and Sets Agenda,5,3,4,5,5,5,Case2
Eliciting the Narrative Thread or the 'Patient's Story',2,5,5,3,5,3,Case2
Timeline,3,5,5,4,5,5,Case2
Organization,3,5,5,5,5,5,Case2
Pacing of Interview,5,5,5,5,5,5,Case2
Types of Questions,4,5,5,5,4,5,Case2
Summarizing,5,5,5,5,5,5,Case2
Duplication,4,5,5,5,5,5,Case2
Lack of Jargon,3,5,5,5,5,5,Case2
Verification of Patient Information,5,5,5,5,5,5,Case2
Verbal Facilitation Skills,5,5,5,3,5,3,Case2
Non-Verbal Facilitation Skills,5,,Unable to score due to lack of non-verbal communication detail in the provided text.,5,,5,Case2
Empathy and Acknowledging Patient Cues,4,5,5,5,5,5,Case2
Impact of Illness on Patient and Patients Self-Image,1,3,3,3,3,1,Case2
Support Systems,2,1,1,1,1,1,Case2
Encouragement of Questions,4,4,4,5,4,5,Case2
Closure,5,1,1,3,3,3,Case2
Opening,5,5,5,4,5,5,Case3
Elicits Spectrum of Concerns,2,3,4,5,4,5,Case3
Negotiates Priorities and Sets Agenda,2,3,3,2,3,2,Case3
Eliciting the Narrative Thread or the 'Patient's Story',3,4,4,3,4,3,Case3
Timeline,4,5,5,4,5,5,Case3
Organization,5,5,5,5,5,5,Case3
Pacing of Interview,4,5,5,5,5,5,Case3
Types of Questions,3,5,5,5,5,5,Case3
Summarizing,5,5,5,5,5,5,Case3
Duplication,5,5,5,5,5,3,Case3
Lack of Jargon,5,5,5,5,5,5,Case3
Verification of Patient Information,5,5,5,5,5,5,Case3
Verbal Facilitation Skills,4,5,5,5,4,5,Case3
Non-Verbal Facilitation Skills,3,,,5,,5,Case3
Empathy and Acknowledging Patient Cues,4,5,3,3,5,5,Case3
Impact of Illness on Patient and Patients Self-Image,4,1,3,3,3,3,Case3
Support Systems,4,3,1,3,3,3,Case3
Encouragement of Questions,2,2,2,2,2,2,Case3
Closure,3,3,1,1,1,1,Case3
Opening,2,3,3,3,3,2,Case4
Elicits Spectrum of Concerns,5,5,5,5,5,4,Case4
Negotiates Priorities and Sets Agenda,5,5,4,2,5,5,Case4
Eliciting the Narrative Thread or the 'Patient's Story',4,4,4,3,5,3,Case4
Timeline,4,5,5,4,5,5,Case4
Organization,4,5,5,5,5,5,Case4
Pacing of Interview,5,5,5,5,5,5,Case4
Types of Questions,5,5,5,4,5,5,Case4
Summarizing,3,4,4,3,3,3,Case4
Duplication,5,5,5,5,5,5,Case4
Lack of Jargon,2,5,5,5,4,5,Case4
Verification of Patient Information,3,5,5,4,5,3,Case4
Verbal Facilitation Skills,4,4,5,3,5,3,Case4
Non-Verbal Facilitation Skills,4,,,5,3,5,Case4
Empathy and Acknowledging Patient Cues,3,3,5,3,4,3,Case4
Impact of Illness on Patient and Patients Self-Image,4,3,3,3,3,3,Case4
Support Systems,1,1,3,3,1,3,Case4
Encouragement of Questions,5,5,4,4,5,5,Case4
Closure,5,1,1,1,3,3,Case4
