Question,Casename,Consensus Answer,GPT Zero Shot
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Dental3,-,-
INTERACTIVE TECHNIQUES,Dental3,-,-
VERBAL FACILITATION SKILLS,Dental3,5.0,4
NON-VERBAL FACILITATION SKILLS,Dental3,5.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Dental3,4.0,5
PATIENTS PERSPECTIVE & BELIEFS,Dental3,2.0,2
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Dental3,-,-
IMPACT OF ILLNESS ON FAMILY,Dental3,-,-
SUPPORT SYSTEMS,Dental3,5.0,4
PATIENTS EDUCATION AND UNDERSTANDING,Dental3,3.0,5
ASSESS MOTIVATION FOR CHANGES,Dental3,4.0,5
ADMITTING LACK OF KNOWLEDGE,Dental3,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Dental3,-,-
ACHIEVE A SHARED PLAN,Dental3,-,-
ENCOURAGEMENT OF QUESTIONS,Dental3,5.0,4
CLOSURE,Dental3,5.0,5
